tconst	primaryTitle	startYear
tt0033238	Waterloo Bridge	1940
tt0033253	The Westerner	1940
tt0033254	When the Daltons Rode	1940
tt0033275	Request Concert	1940
tt0033283	You'll Find Out	1940
tt0033288	Young People	1940
tt0033313	Across the Sierras	1941
tt0033314	Adam Had Four Sons	1941
tt0033317	Adventures of Captain Marvel	1941
tt0033323	All-American Co-Ed	1941
tt0033328	L'allegro fantasma	1941
tt0033337	Among the Living	1941
tt0033342	Andy Hardy's Private Secretary	1941
tt0033357	Who Killed Santa Claus?	1941
tt0033359	Auf Wiedersehn, Franziska!	1941
tt0033365	Back Street	1941
tt0033368	The Bad Man	1941
tt0033370	Badlands of Dakota	1941
tt0033373	Ball of Fire	1941
tt0033378	Barnacle Bill	1941
tt0033383	Belle Starr	1941
tt0033388	The Big Store	1941
tt0033396	Birth of the Blues	1941
tt0033397	The Black Cat	1941
tt0033405	Blood and Sand	1941
tt0033406	The Blood of Jesus	1941
tt0033407	Blossoms in the Dust	1941
tt0033408	Blue, White and Perfect	1942
tt0033409	Blues in the Night	1941
tt0033414	The Body Disappears	1941
tt0033422	Bogdan Khmelnitskiy	1941
tt0033432	The Bride Came C.O.D.	1941
tt0033435	Broadway Limited	1941
tt0033436	Buck Privates	1941
tt0033455	Caught in the Draft	1941
tt0033456	La cena delle beffe	1942
tt0033457	Charley's Aunt	1941
tt0033458	Charlie Chan in Rio	1941
tt0033459	Cheers for Miss Bishop	1941
tt0033464	The Chocolate Soldier	1941
tt0033467	Citizen Kane	1941
tt0033477	Come Live with Me	1941
tt0033486	Confirm or Deny	1941
tt0033489	La corona di ferro	1941
tt0033490	The Corsican Brothers	1941
tt0033491	Bombsight Stolen	1941
tt0033493	Courageous Mr. Penn	1942
tt0033511	Suicide Squadron	1941
tt0033519	Dead Men Tell	1941
tt0033523	The Last One of the Six	1941
tt0033525	Design for Scandal	1941
tt0033530	The Devil Commands	1941
tt0033532	All That Money Can Buy	1941
tt0033533	The Devil and Miss Jones	1941
tt0033537	Dive Bomber	1941
tt0033539	Doctors Don't Tell	1941
tt0033553	Dr. Jekyll and Mr. Hyde	1941
tt0033554	Dr. Kildare's Victory	1942
tt0033555	Dr. Kildare's Wedding Day	1941
tt0033558	Dressed to Kill	1941
tt0033563	Dumbo	1941
tt0033577	The Getaway	1941
tt0033582	The Face Behind the Mask	1941
tt0033592	Father Takes a Wife	1941
tt0033596	The Feminine Touch	1941
tt0033603	The Well-Digger's Daughter	1940
tt0033606	The Flame of New Orleans	1941
tt0033608	Flight from Destiny	1941
tt0033627	49th Parallel	1941
tt0033628	Four Mothers	1941
tt0033635	A Voice in the Night	1941
tt0033648	A Garibaldian in the Convent	1942
tt0033650	The Gay Falcon	1941
tt0033654	The 47 Ronin	1941
tt0033660	The Ghost Train	1941
tt0033661	The Ghost of St. Michael's	1941
tt0033663	The Girl in the News	1940
tt0033676	Great Guns	1941
tt0033677	The Great Lie	1941
tt0033686	H.M. Pulham, Esq.	1941
tt0033692	A.J. Cronin's Hatter's Castle	1942
tt0033702	Homecoming	1941
tt0033704	Hellzapoppin'	1941
tt0033711	Here Comes Happiness	1941
tt0033712	Here Comes Mr. Jordan	1941
tt0033716	Hideko, the Bus Conductor	1941
tt0033717	High Sierra	1940
tt0033722	Hold Back the Dawn	1941
tt0033723	Hold That Ghost	1941
tt0033726	Honky Tonk	1941
tt0033727	Mr. Bug Goes to Town	1941
tt0033728	Horror Island	1941
tt0033729	How Green Was My Valley	1941
tt0033740	I Wake Up Screaming	1941
tt0033741	I Wanted Wings	1941
tt0033750	I accuse	1941
tt0033754	In the Navy	1941
tt0033758	International Lady	1941
tt0033760	Invisible Ghost	1941
tt0033766	It Started with Eve	1941
tt0033774	Johnny Eager	1941
tt0033781	Keep 'Em Flying	1941
tt0033782	Keeping Company	1940
tt0033787	King of the Zombies	1941
tt0033790	The Remarkable Mr. Kipps	1941
tt0033798	The Vagabond's Valse	1941
tt0033802	Ladies in Retirement	1941
tt0033803	Lady Be Good	1941
tt0033804	The Lady Eve	1941
tt0033805	Lady Scarface	1941
tt0033806	Lady for a Night	1942
tt0033836	The Little Foxes	1941
tt0033851	Louisiana Purchase	1941
tt0033852	Love Crazy	1941
tt0033853	Love on the Dole	1941
tt0033861	The Mad Doctor	1940
tt0033867	Maisie Was a Lady	1941
tt0033868	Major Barbara	1941
tt0033870	The Maltese Falcon	1941
tt0033871	A Man Betrayed	1941
tt0033873	Man Hunt	1941
tt0033874	The Man Who Came to Dinner	1941
tt0033879	Man Made Monster	1941
tt0033886	Maskarad	1941
tt0033889	Mechta	1943
tt0033890	Meet Boston Blackie	1941
tt0033891	Meet John Doe	1941
tt0033900	The Men in Her Life	1941
tt0033902	Men of Boys Town	1941
tt0033916	The Monster and the Girl	1941
tt0033922	Mr. & Mrs. Smith	1941
tt0033928	Murder by Invitation	1941
tt0033941	The White Ship	1941
tt0033945	Never Give a Sucker an Even Break	1941
tt0033950	Nice Girl?	1941
tt0033954	The Night of January 16th	1941
tt0033963	Nothing But the Truth	1941
tt0033973	Uncle Kruger	1941
tt0033980	One Foot in Heaven	1941
tt0033986	Our Wife	1941
tt0033987	Out of the Fog	1941
tt0033994	The Tyrant Father	1941
tt0033996	Panhandle	1948
tt0034012	Penny Serenade	1941
tt0034027	'Pimpernel' Smith	1941
tt0034055	Pot o' Gold	1941
tt0034063	Her First Affair	1941
tt0034065	The Prime Minister	1941
tt0034071	The Spirit and the Flesh	1941
tt0034078	Rage in Heaven	1941
tt0034091	The Reluctant Dragon	1941
tt0034092	Remember the Day	1941
tt0034093	Remorques	1941
tt0034113	River's End	1940
tt0034115	Road Show	1941
tt0034116	Road to Zanzibar	1941
tt0034162	The Sea Wolf	1941
tt0034167	Sergeant York	1941
tt0034172	Shadow of the Thin Man	1941
tt0034173	Shadows on the Stairs	1941
tt0034175	The Shanghai Gesture	1941
tt0034182	The Shepherd of the Hills	1941
tt0034191	Singapore Woman	1941
tt0034198	Skylark	1941
tt0034199	Sleepers West	1941
tt0034235	Strange Alibi	1941
tt0034236	The Strawberry Blonde	1941
tt0034240	Sullivan's Travels	1941
tt0034241	Sun Valley Serenade	1941
tt0034248	Suspicion	1941
tt0034249	They Met in Moscow	1941
tt0034251	Swamp Water	1941
tt0034266	Tarzan's Secret Treasure	1941
tt0034268	Doctor, Beware	1941
tt0034269	Texas	1941
tt0034272	That Hamilton Woman	1941
tt0034273	That Night in Rio	1941
tt0034274	That Uncertain Feeling	1941
tt0034277	They Died with Their Boots On	1941
tt0034278	Wings and the Woman	1942
tt0034281	They Met in Bombay	1941
